param_name,param_value,is_baseline,seed,Precision@10,Recall@10,F1@10,NDCG@10,RMSE,MAE,Epochs_run,Execution_Time_s
EMBEDDING_DIM,16.0,False,42,0.1586,0.8258,0.2523,0.7975,1.015,0.8094,6,3.97
EMBEDDING_DIM,16.0,False,123,0.1621,0.8333,0.2567,0.8077,0.9815,0.7728,6,3.89
EMBEDDING_DIM,16.0,False,7,0.1525,0.8402,0.2455,0.8121,0.9771,0.7745,6,4.03
EMBEDDING_DIM,32.0,True,42,0.1586,0.8258,0.2523,0.7989,1.019,0.8208,6,5.01
EMBEDDING_DIM,32.0,True,123,0.1621,0.8333,0.2567,0.8078,0.9961,0.791,6,3.95
EMBEDDING_DIM,32.0,True,7,0.1525,0.8402,0.2455,0.8125,0.9689,0.7544,6,3.95
EMBEDDING_DIM,64.0,False,42,0.1586,0.8258,0.2523,0.7997,1.0123,0.8037,6,4.35
EMBEDDING_DIM,64.0,False,123,0.1621,0.8333,0.2567,0.8105,0.9871,0.7901,6,4.35
EMBEDDING_DIM,64.0,False,7,0.1525,0.8402,0.2455,0.8072,0.9617,0.7595,6,4.35
LEARNING_RATE,0.001,False,42,0.1586,0.8258,0.2523,0.798,0.9837,0.7664,8,4.61
LEARNING_RATE,0.001,False,123,0.1621,0.8333,0.2567,0.813,0.9716,0.744,7,4.33
LEARNING_RATE,0.001,False,7,0.1525,0.8402,0.2455,0.8134,0.9598,0.7554,7,4.34
LEARNING_RATE,0.005,True,42,0.1586,0.8258,0.2523,0.7996,1.0161,0.8211,6,4.08
LEARNING_RATE,0.005,True,123,0.1621,0.8333,0.2567,0.8112,0.9837,0.7822,6,4.08
LEARNING_RATE,0.005,True,7,0.1525,0.8402,0.2455,0.8106,0.9716,0.7565,6,4.07
LEARNING_RATE,0.01,False,42,0.1586,0.8258,0.2523,0.7986,1.0036,0.7966,6,4.57
LEARNING_RATE,0.01,False,123,0.1621,0.8333,0.2567,0.8103,0.9998,0.8099,6,4.12
LEARNING_RATE,0.01,False,7,0.1525,0.8402,0.2455,0.8082,0.9593,0.7545,6,4.12
BATCH_SIZE,32.0,True,42,0.1586,0.8258,0.2523,0.7988,1.0051,0.7947,6,4.06
BATCH_SIZE,32.0,True,123,0.1621,0.8333,0.2567,0.8112,0.9891,0.7846,6,4.13
BATCH_SIZE,32.0,True,7,0.1525,0.8402,0.2455,0.8127,0.9732,0.7627,6,4.06
BATCH_SIZE,64.0,False,42,0.1586,0.8258,0.2523,0.7964,1.0152,0.8103,6,3.63
BATCH_SIZE,64.0,False,123,0.1621,0.8333,0.2567,0.8117,0.983,0.7246,7,3.76
BATCH_SIZE,64.0,False,7,0.1525,0.8402,0.2455,0.8094,0.9768,0.7734,6,3.64
BATCH_SIZE,128.0,False,42,0.1586,0.8258,0.2523,0.7971,1.008,0.7631,7,3.54
BATCH_SIZE,128.0,False,123,0.1621,0.8333,0.2567,0.81,0.9914,0.7771,6,3.41
BATCH_SIZE,128.0,False,7,0.1525,0.8402,0.2455,0.809,0.9648,0.7216,7,3.55
TEXT_MAX_TOKENS,500.0,False,42,0.1586,0.8258,0.2523,0.7974,1.003,0.798,6,4.03
TEXT_MAX_TOKENS,500.0,False,123,0.1621,0.8333,0.2567,0.8083,0.9871,0.7802,6,3.99
TEXT_MAX_TOKENS,500.0,False,7,0.1525,0.8402,0.2455,0.8091,0.9679,0.7539,6,3.99
TEXT_MAX_TOKENS,1000.0,True,42,0.1586,0.8258,0.2523,0.7971,1.0058,0.8014,6,4.14
TEXT_MAX_TOKENS,1000.0,True,123,0.1621,0.8333,0.2567,0.8111,1.0029,0.8081,6,4.1
TEXT_MAX_TOKENS,1000.0,True,7,0.1525,0.8402,0.2455,0.8105,0.9701,0.7579,6,4.08
TEXT_MAX_TOKENS,2000.0,False,42,0.1586,0.8258,0.2523,0.7983,0.9983,0.7934,6,4.32
TEXT_MAX_TOKENS,2000.0,False,123,0.1621,0.8333,0.2567,0.8099,0.9911,0.7924,6,4.29
TEXT_MAX_TOKENS,2000.0,False,7,0.1525,0.8402,0.2455,0.8075,0.9658,0.756,6,4.28
