param_name,param_value,is_baseline,n_runs,Precision@10_mean,Precision@10_std,Recall@10_mean,Recall@10_std,F1@10_mean,F1@10_std,NDCG@10_mean,NDCG@10_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Epochs_run_mean,Epochs_run_std
BATCH_SIZE,32.0,True,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8076,0.0076,0.9891,0.016,0.7807,0.0164,6.0,0.0
BATCH_SIZE,64.0,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8058,0.0083,0.9917,0.0206,0.7694,0.043,6.3333,0.5774
BATCH_SIZE,128.0,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8054,0.0072,0.9881,0.0218,0.7539,0.0289,6.6667,0.5774
EMBEDDING_DIM,16.0,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8058,0.0075,0.9912,0.0207,0.7856,0.0207,6.0,0.0
EMBEDDING_DIM,32.0,True,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8064,0.0069,0.9947,0.0251,0.7887,0.0333,6.0,0.0
EMBEDDING_DIM,64.0,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8058,0.0055,0.987,0.0253,0.7844,0.0226,6.0,0.0
LEARNING_RATE,0.001,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8081,0.0088,0.9717,0.012,0.7553,0.0112,7.3333,0.5774
LEARNING_RATE,0.005,True,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8071,0.0065,0.9905,0.023,0.7866,0.0325,6.0,0.0
LEARNING_RATE,0.01,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8057,0.0062,0.9876,0.0246,0.787,0.0289,6.0,0.0
TEXT_MAX_TOKENS,500.0,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8049,0.0065,0.986,0.0176,0.7774,0.0222,6.0,0.0
TEXT_MAX_TOKENS,1000.0,True,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8062,0.0079,0.9929,0.0198,0.7891,0.0273,6.0,0.0
TEXT_MAX_TOKENS,2000.0,False,3,0.1577,0.0049,0.8331,0.0072,0.2515,0.0056,0.8052,0.0061,0.9851,0.0171,0.7806,0.0213,6.0,0.0
